Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000088549	6.199791371041176e-11	1.3157335020765162e-8	-0.8343534807405604	18	6126506	6143192	1	protein_coding	si:ch1073-390k14.1	si:ch1073-390k14.1 [Source:ZFIN;Acc:ZDB-GENE-141215-14]	69	101	79	58	85	110	131	171	181	150	224	163	81.84759996793386	85.28171305798278	82.18505899366193	83.0175326627864	81.50924394502105	110.88000413991992	165.93053206913237	177.46141951491043	130.12905405891772	169.3821285256134	165.92000341066628	132.90923376518694
ENSDARG00000090526	6.531429601406997e-11	1.3743677712113198e-8	1.4117603493984618	12	30540911	30549022	-1	protein_coding	zgc:158404	zgc:158404 [Source:ZFIN;Acc:ZDB-GENE-070112-592]	236	264	203	134	277	231	107	65	98	118	107	58	279.94251583235354	222.9145767060144	211.1843920976376	191.79912718643752	265.62424203259803	232.84800869383182	135.53104527784095	67.45609513724665	70.45661490482837	133.24727444014923	79.25643020063077	47.29285618638554
ENSDARG00000060498	7.306508126233574e-11	1.5245428300368037e-8	1.2466805037579871	23	30006206	30010042	1	protein_coding	tnfrsf9a	tumor necrosis factor receptor superfamily, member 9a [Source:ZFIN;Acc:ZDB-GENE-060421-8213]	74	102	71	33	107	91	25	44	48	26	50	36	87.7785854728566	86.12608645459648	73.86252137405059	47.23411341158536	102.60575414255591	91.72800342484284	31.6661320742619	45.66258747752081	34.509362402364914	29.35956894443966	37.03571504702373	29.354186598446198
ENSDARG00000053113	7.956504915701251e-11	1.6463334754738504e-8	0.4179916485240061	11	11120532	11193205	1	protein_coding	ly75	lymphocyte antigen 75 [Source:ZFIN;Acc:ZDB-GENE-050309-166]	424	544	401	338	471	448	272	325	494	299	478	411	502.9475708174487	459.3391277578479	417.1671981830181	483.79182827623794	451.65710468358725	451.58401686076473	344.52751696796946	337.2804756862333	355.15885472433894	337.6350428610561	354.0614358495468	335.1269636655941
ENSDARG00000099476	8.76937957357878e-11	1.7995346678674473e-8	0.7137830974918972	6	19263433	19271210	-1	protein_coding	zgc:174863	zgc:174863 [Source:ZFIN;Acc:ZDB-GENE-080204-87]	307	545	395	272	380	382	163	238	289	260	385	257	364.16251000225645	460.18350115446157	410.92529496830963	389.3236014530672	364.3942670483294	385.0560143768128	206.4631811241876	246.9930868102262	207.77511946423877	293.5956894443966	285.1750058620827	209.55627655001868
ENSDARG00000040445	9.454403873551798e-11	1.9242036736089438e-8	1.0936525917574058	9	23765587	23779525	1	protein_coding	si:ch211-219a4.3	si:ch211-219a4.3 [Source:ZFIN;Acc:ZDB-GENE-070424-157]	165	240	151	160	148	139	59	79	90	108	104	99	195.72252166245056	202.64961518728583	157.08789757016393	229.01388320768658	141.92197769250726	140.11200523135335	74.73207169525809	81.98510024373054	64.70505450443422	121.95513253844166	77.03428729780936	80.72401314572704
ENSDARG00000109648	1.0564303435739968e-10	2.1326150756863693e-8	1.2313058226140616	25	13180468	13188678	-1	protein_coding	si:ch211-147m6.1	si:ch211-147m6.1 [Source:ZFIN;Acc:ZDB-GENE-131120-57]	147	128	93	92	86	150	44	56	60	55	73	55	174.37097384472867	108.07979476655244	96.74949982798175	131.6829828444198	82.46817622672718	151.20000564534533	55.73239245070094	58.11602042593558	43.136703002956146	62.10678045939159	54.072143968654636	44.846673969848354
ENSDARG00000101334	1.6048931443781006e-10	3.2136690947506644e-8	0.5710299614812745	15	43604032	43625549	-1	protein_coding	ctsc	cathepsin C [Source:ZFIN;Acc:ZDB-GENE-030619-9]	761	1126	688	673	903	737	456	590	716	521	727	773	902.6959938492416	950.764444587016	715.7382352865748	963.2896462423317	865.9158503806354	742.8960277374634	577.5902490345371	612.2937866303927	514.7646558352767	588.320593078964	538.499296783725	630.2996177944142
ENSDARG00000030463	2.3708091983843155e-10	4.709375391670604e-8	-0.8220282250002412	7	35229645	35243976	1	protein_coding	tppp3	tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909]	144	223	215	221	200	237	322	372	535	310	491	548	170.81238254177504	188.2952674448531	223.6681985270546	316.3254261806171	191.786456341226	238.89600891964562	407.85978111649325	386.05642140085774	384.63560177635895	350.0563989529344	363.690721761773	446.8359515541255
ENSDARG00000038321	2.493590137330276e-10	4.9139558023738694e-8	3.9136102936681323	9	33080438	33081978	-1	protein_coding	zgc:172053	zgc:172053 [Source:ZFIN;Acc:ZDB-GENE-080219-25]	118	115	55	90	162	88	4	1	3	22	3	12	139.97125791617677	97.10294061057446	57.217446134827924	128.8203093043237	155.34702963639307	88.70400331193594	5.066581131881904	1.0377860790345639	2.156835150147807	24.842712183756635	2.2221429028214237	9.784728866148733
ENSDARG00000090882	2.571943239851397e-10	5.0126341622804176e-8	1.7529282004202114	22	6182981	6194580	-1	protein_coding	si:rp71-36a1.5	si:rp71-36a1.5 [Source:ZFIN;Acc:ZDB-GENE-091204-428]	38	58	23	31	52	30	9	13	10	16	17	13	45.07548983741285	48.97365700359408	23.927295656382586	44.37143987148928	49.864478648718766	30.240001129069068	11.399807546734284	13.49121902744933	7.189450500492691	18.0674270427321	12.592143115988067	10.600122938327793
ENSDARG00000008772	2.584040164204162e-10	5.0126341622804176e-8	0.46937157212064406	6	21470261	21492752	-1	protein_coding	cacng1a	calcium channel, voltage-dependent, gamma subunit 1a [Source:ZFIN;Acc:ZDB-GENE-030131-732]	553	876	615	532	699	589	425	457	664	406	633	633	655.9669968444555	739.6710954335932	639.7950795076213	761.4711616655579	670.2936649125849	593.7120221673894	538.3242452624523	474.2682381187957	477.37951323271466	458.46096120932697	468.8721524953204	516.1444476893456
ENSDARG00000013926	2.9140881380752534e-10	5.60905492003167e-8	1.1860475703375022	17	20653773	20666616	-1	protein_coding	slc16a9a	solute carrier family 16 member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]	391	371	384	448	288	304	163	160	240	122	278	200	463.80306648495855	313.2625301436793	399.48180574134403	641.2388729815225	276.17249713136545	306.4320114412332	206.4631811241876	166.04577264553023	172.54681201182458	137.76413120083225	205.9185756614519	163.0788144358122
ENSDARG00000039117	3.0359565952879953e-10	5.798677097000071e-8	-0.4072610137555766	12	19144833	19153177	-1	protein_coding	tefa	TEF transcription factor, PAR bZIP family member a [Source:ZFIN;Acc:ZDB-GENE-990415-264]	2389	3372	2775	1947	2769	2671	2926	3723	4211	3468	5095	4746	2833.824874252087	2847.227093381366	2886.8802368026813	2786.812691283536	2655.2834880442742	2692.3681005247827	3706.204097971613	3863.6775722456814	3027.4776057574722	3916.1148115121823	3773.9393632917177	3869.8602665618237
ENSDARG00000100280	3.215948215358161e-10	6.095572075369705e-8	1.2397515352705568	6	57401178	57426097	-1	protein_coding	znfx1	zinc finger, NFX1-type containing 1 [Source:ZFIN;Acc:ZDB-GENE-110804-2]	60	81	44	44	56	63	19	25	28	21	50	28	71.17182605907293	68.39424512570896	45.773956907862335	62.97881788211381	53.700207775543284	63.50400237104504	24.066260376439043	25.944651975864097	20.130461401379534	23.71349799358588	37.03571504702373	22.83103402101371
ENSDARG00000103650	3.3558640367122165e-10	6.312583638754873e-8	1.6771511084305444	12	44119432	44307963	-1	protein_coding	si:ch73-329n5.1	si:ch73-329n5.1 [Source:ZFIN;Acc:ZDB-GENE-131121-475]	203	141	155	171	181	204	33	94	103	29	105	39	240.7980114998634	119.05664892253043	161.2491663799696	244.75858767821504	173.56674298880955	205.63200767766966	41.79929433802571	97.55189142924901	74.05134015507471	32.74721151495193	77.77500159874982	31.80036881498338
ENSDARG00000105630	3.3853118033829216e-10	6.32009714872165e-8	1.1782194553421326	7	30109990	30127082	-1	protein_coding	alpk3b	alpha-kinase 3b [Source:ZFIN;Acc:ZDB-GENE-121101-3]	88	162	70	56	131	119	44	50	65	27	70	58	104.3853448866403	136.78849025141793	72.82220417159917	80.15485912269031	125.62012890350303	119.95200447864063	55.73239245070094	51.889303951728195	46.73142825320249	30.488783134610415	51.85000106583322	47.29285618638554
ENSDARG00000040628	3.786313323883835e-10	7.015982077017583e-8	0.5641070129455885	15	42560354	42575208	1	protein_coding	zgc:110333	zgc:110333 [Source:ZFIN;Acc:ZDB-GENE-050417-331]	365	490	331	306	491	406	247	252	356	237	426	348	432.9619418593603	413.74296434070857	344.3449940114189	437.9890516347006	470.8357503177099	409.24801528006805	312.86138489370757	261.5220919167101	255.9444378175398	267.6237630704692	315.54429220064213	283.75713711831327
ENSDARG00000093494	4.2032781671183365e-10	7.730918288114689e-8	1.7329325313933854	1	52398205	52400660	1	protein_coding	si:ch211-217k17.9	si:ch211-217k17.9 [Source:ZFIN;Acc:ZDB-GENE-061207-21]	419	992	348	791	706	479	128	164	240	198	252	348	497.01658531252593	837.6184094407814	362.030386453093	1132.1873851080006	677.0061908845278	482.8320180274695	162.13059622022092	170.19691696166848	172.54681201182458	223.5844096538097	186.66000383699958	283.75713711831327
ENSDARG00000103485	5.187637926177842e-10	9.471253654926162e-8	0.8769411244641401	6	18298444	18350267	1	protein_coding	card14	caspase recruitment domain family, member 14 [Source:ZFIN;Acc:ZDB-GENE-090310-1]	161	169	140	113	150	139	70	71	104	104	91	104	190.97773325851236	142.69910402771376	145.64440834319834	161.74105501542866	143.8398422559195	140.11200523135335	88.66516980793332	73.68281161145404	74.77028520512398	117.43827577775863	67.40500138558318	84.80098350662234
ENSDARG00000002405	6.12714752104981e-10	1.1082331287986312e-7	-0.5987677575956236	5	20786772	20814588	-1	protein_coding	si:ch211-225b11.1	si:ch211-225b11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-39]	181	313	222	142	225	226	267	265	538	303	495	427	214.70167527820334	264.2888731400853	230.9504189442145	203.24982134682185	215.75976338387926	227.80800850565365	338.19429055311707	275.01331094415946	386.79243692650675	342.1518996217391	366.6535789655349	348.17326882045904
ENSDARG00000055365	6.159330317124893e-10	1.1082331287986312e-7	1.377816470673446	20	26543683	26551233	-1	protein_coding	si:dkey-25e12.3	si:dkey-25e12.3 [Source:NCBI gene;Acc:678527]	48	84	55	68	63	45	21	27	28	13	38	37	56.93746084725834	70.92736531555003	57.217446134827924	97.3309003632668	60.41273374748619	45.3600016936036	26.599550942379995	28.020224133933226	20.130461401379534	14.67978447221983	28.14714343573803	30.16958067062526
ENSDARG00000036840	6.655624277107545e-10	1.1889147539610096e-7	-0.6695649371571639	11	11515778	11518469	-1	protein_coding	krt15	keratin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-2931]	2918	3833	3257	3069	3038	2802	4059	4342	7226	4574	7943	7662	3461.3231406729133	3236.4832292202773	3388.3131283842645	4392.772547277438	2913.236271823223	2824.416105455051	5141.313203577162	4506.067155168076	5195.096931656019	5165.025705841039	5883.493692370189	6247.549381035966
ENSDARG00000088641	6.87523453302093e-10	1.2188013704434027e-7	2.7546563341661283	19	40196462	40199098	-1	protein_coding	grn2	granulin 2 [Source:ZFIN;Acc:ZDB-GENE-050522-264]	282	455	231	204	241	176	57	70	12	37	25	42	334.50758247764276	384.1898954592294	240.31327376627726	291.9927010898004	231.10267989117733	177.40800662387187	72.19878112931714	72.64502553241947	8.627340600591229	41.780925036317974	18.517857523511864	34.24655103152056
ENSDARG00000076308	6.92110323127345e-10	1.2188013704434027e-7	-0.5825381133995058	16	26816753	26820634	-1	protein_coding	pdp1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060810-70]	173	191	161	142	184	160	231	236	412	223	345	317	205.21209847032694	161.27531875321498	167.4910695946781	203.24982134682185	176.44353983392793	161.2800060217017	292.59506036617995	244.91751465215708	296.20536062029885	251.81476440807862	255.54643382446372	258.47992088076234
ENSDARG00000043085	6.986487302523641e-10	1.221651265645507e-7	4.382171173913446	15	942531	952891	-1	protein_coding	alox5b.1	arachidonate 5-lipoxygenase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-131219-3]	23	29	6	20	17	11	1	1	1	0	2	1	27.28253332264462	24.48682850179704	6.2419032147085005	28.626735400960822	16.30184878900421	11.088000413991992	1.266645282970476	1.0377860790345639	0.7189450500492691	0	1.481428601880949	0.815394072179061
ENSDARG00000038668	8.857871353650222e-10	1.529513089534814e-7	1.2394049349755631	2	42020915	42035307	-1	protein_coding	gbp1	guanylate binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040718-32]	86	204	121	93	116	147	20	51	103	58	89	60	102.0129506846712	172.25217290919295	125.87838149662143	133.11431961446783	111.23614467791108	148.17600553243844	25.33290565940952	52.927090030762756	74.05134015507471	65.49442302990386	65.92357278370223	48.92364433074366
ENSDARG00000003684	8.87031352770895e-10	1.529513089534814e-7	0.6740229057396823	6	21157195	21189295	-1	protein_coding	obsl1a	obscurin like cytoskeletal adaptor 1a [Source:ZFIN;Acc:ZDB-GENE-060503-649]	238	445	349	212	340	318	182	180	282	220	221	260	282.3149100343226	375.7461614930925	363.07070365554443	303.4433952501847	326.0369757800842	320.5440119681321	230.52944150062663	186.8014942262215	202.7425041138939	248.42712183756635	163.69786050784487	212.00245876655586
ENSDARG00000099974	1.1221944826477275e-9	1.9216613106305567e-7	0.5015336460330002	12	26023948	26064562	-1	protein_coding	ldb3b	LIM domain binding 3b [Source:ZFIN;Acc:ZDB-GENE-030131-6032]	4468	7932	5323	4528	5582	5256	3549	3755	5030	3472	5427	5569	5299.928647198964	6697.5697819397965	5537.608468648891	6481.09289477753	5352.759996483618	5298.048197812901	4495.324109262219	3896.8867267747873	3616.2936017478237	3920.6316682728652	4019.856511203955	4540.929587965191
ENSDARG00000069559	1.2305995172600463e-9	2.0928620557237636e-7	0.6099624667140724	1	45121393	45135878	1	protein_coding	muc13a	mucin 13a, cell surface associated [Source:ZFIN;Acc:ZDB-GENE-061207-26]	310	406	351	246	360	325	156	205	363	181	385	252	367.72110130521014	342.8155990251585	365.1513380604473	352.1088454318181	345.2156214142068	327.60001223158156	197.59666414339426	212.7461462020856	260.97705316788466	204.38776842090687	285.1750058620827	205.47930618912338
ENSDARG00000091757	1.4225861294341914e-9	2.402912489377617e-7	0.8097342553273905	20	35568552	35578435	-1	protein_coding	adgrf6	adhesion G protein-coupled receptor F6 [Source:ZFIN;Acc:ZDB-GENE-041001-212]	707	714	492	425	671	515	270	439	450	316	380	450	838.641350396076	602.8826051821753	511.836063606097	608.3181272704174	643.4435610248132	519.1200193823523	341.9942264020285	455.58808869617354	323.52527252217106	356.8316840939589	281.4714343573803	366.9273324805775
ENSDARG00000029439	1.4925363378956981e-9	2.504032247969607e-7	-0.6567257546799373	8	11687254	11744994	1	protein_coding	atp2a2a	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]	781	1071	916	666	960	831	1312	1552	1577	1210	1565	2129	926.4199358689326	904.323907773263	952.9305574454977	953.2702888519955	920.5749904378848	837.6480312752132	1661.8386112572646	1610.643994661643	1133.7763439276973	1366.349170106615	1159.2178809718425	1735.9739796692209
ENSDARG00000099717	1.5798506301452732e-9	2.632730949430009e-7	1.9339139221740222	21	2091895	2101392	1	protein_coding	si:rp71-1h20.9	si:rp71-1h20.9 [Source:ZFIN;Acc:ZDB-GENE-131127-386]	25	26	23	28	20	31	3	8	8	9	7	12	29.65492752461372	21.953708311955964	23.927295656382586	40.077429561345156	19.1786456341226	31.248001166704704	3.799935848911428	8.302288632276511	5.751560400394153	10.162927711536804	5.185000106583321	9.784728866148733
ENSDARG00000104642	1.6950722346319319e-9	2.805909572394058e-7	1.3045044955241396	12	44162747	44171241	-1	protein_coding	si:dkey-31i7.2	si:dkey-31i7.2 [Source:ZFIN;Acc:ZDB-GENE-131121-104]	308	190	230	137	206	260	56	100	168	59	181	92	365.34870710324105	160.43094535660128	239.27295656382586	196.09313749658165	197.54005003146278	262.08000978526525	70.93213584634665	103.77860790345639	120.7827684082772	66.62363722007461	134.0692884702259	75.01625464047362
ENSDARG00000039997	1.9591309112188756e-9	3.2215377831499784e-7	0.5201694462544308	19	25088150	25149598	-1	protein_coding	ptp4a3a	protein tyrosine phosphatase 4A3a [Source:ZFIN;Acc:ZDB-GENE-040426-2220]	991	1444	1338	947	1178	1141	667	836	1290	601	1219	1157	1175.5213270756879	1219.2751847101697	1391.9444168799955	1355.475921235495	1129.6222278498212	1150.1280429422602	844.8524037413075	867.5891620728954	927.4391145635572	678.6577282926245	902.9307328464384	943.4109415111736
ENSDARG00000079705	1.998838262456818e-9	3.247836668823223e-7	0.911062773891556	19	27522425	27542433	-1	protein_coding	si:ch211-152p11.4	si:ch211-152p11.4 [Source:ZFIN;Acc:ZDB-GENE-060503-764]	111	151	98	113	116	92	46	49	95	57	93	87	131.6678782092849	127.50038288866733	101.95108584023885	161.74105501542866	111.23614467791108	92.73600346247848	58.265683016641894	50.851517872693634	68.29977975468056	64.3652088397331	68.88642998746413	70.93928427957832
ENSDARG00000089399	2.001284777808913e-9	3.247836668823223e-7	0.8713402857396079	16	46639772	46645396	-1	protein_coding	tmem176l.2	transmembrane protein 176l.2 [Source:ZFIN;Acc:ZDB-GENE-080829-12]	577	1053	680	400	790	610	430	411	425	350	434	401	684.4357272680846	889.1251866342166	707.4156976669634	572.5347080192165	757.5565025478427	614.8800229577378	544.6574716773047	426.5300784832058	305.5516462709394	395.22496655976465	321.47000660816593	326.97302294380347
ENSDARG00000074150	2.304302161368994e-9	3.7153131601813064e-7	3.6840183101532014	12	46231498	46252062	-1	protein_coding	si:ch211-226h7.5	si:ch211-226h7.5 [Source:ZFIN;Acc:ZDB-GENE-130531-3]	26	18	7	11	25	16	4	1	0	1	1	2	30.84112462559827	15.198721139046437	7.282220417159917	15.744704470528452	23.97330704265325	16.128000602170168	5.066581131881904	1.0377860790345639	0	1.1292141901707562	0.7407143009404745	1.630788144358122
ENSDARG00000003632	2.6128322139892544e-9	4.185588636990528e-7	1.0131592404819223	11	36243774	36249902	1	protein_coding	zgc:172270	zgc:172270 [Source:ZFIN;Acc:ZDB-GENE-080204-67]	56	113	86	79	126	83	44	46	62	50	58	46	66.42703765513473	95.41419381734708	89.46727941082185	113.07560483379525	120.82546749497239	83.66400312375775	55.73239245070094	47.73815963558994	44.57459310305468	56.4607095085378	42.96142945454752	37.50812732023681
ENSDARG00000075643	2.648811288940168e-9	4.210021833302901e-7	1.2683193531460164	3	29941777	29948955	1	protein_coding	ifi35	interferon-induced protein 35 [Source:ZFIN;Acc:ZDB-GENE-100311-2]	138	261	81	94	188	128	58	74	61	57	72	86	163.69519993586772	220.38145651617333	84.26569339856475	134.54565638451587	180.27926896075246	129.02400481736134	73.46542641228761	76.79616984855772	43.85564805300542	64.3652088397331	53.33142966771417	70.12389020739924
ENSDARG00000074322	2.6619952792128696e-9	4.210021833302901e-7	1.5631105608522173	25	13191391	13194926	1	protein_coding	si:ch211-194m7.3	si:ch211-194m7.3 [Source:ZFIN;Acc:ZDB-GENE-131121-19]	181	157	115	78	87	155	24	81	73	37	49	39	214.70167527820334	132.56662326834947	119.63647828191293	111.64426806374722	83.42710850843332	156.24000583352353	30.399486791291423	84.06067240179968	52.48298865359664	41.780925036317974	36.295000746083254	31.80036881498338
ENSDARG00000021688	3.2158410237064424e-9	5.053755229027277e-7	3.288247294433199	1	7562316	7570181	-1	protein_coding	mxa	myxovirus (influenza) resistance A [Source:NCBI gene;Acc:360142]	12	47	10	12	50	21	0	1	4	1	7	5	14.234365211814586	39.685549640843476	10.403172024514168	17.176041240576495	47.9466140853065	21.168000790348348	0	1.0377860790345639	2.8757802001970765	1.1292141901707562	5.185000106583321	4.076970360895305
ENSDARG00000099923	3.324478643880571e-9	5.191622938839911e-7	0.4646769971657273	14	48862987	48921546	1	protein_coding	zgc:154054	zgc:154054 [Source:ZFIN;Acc:ZDB-GENE-061103-283]	404	588	376	363	487	439	263	319	488	309	413	434	479.2236287977577	496.4915572088503	391.1592681217327	519.5752475274389	467.0000211908853	442.512016522044	333.1277094212352	331.0537592120259	350.84518442404334	348.92718476276366	305.91500628841595	353.88102732571247
ENSDARG00000052626	3.5229754327351454e-9	5.467217499675853e-7	3.627026530800686	12	46188692	46204837	-1	unprocessed_pseudogene	AL954655.1	NA	18	22	4	13	22	31	1	2	1	3	0	3	21.35154781772188	18.576214725501202	4.161268809805667	18.607378010624537	21.09651019753486	31.248001166704704	1.266645282970476	2.0755721580691278	0.7189450500492691	3.3876425705122686	0	2.446182216537183
ENSDARG00000043571	3.6511075270105202e-9	5.630869558737342e-7	0.372156624371953	8	12925385	12948930	1	protein_coding	KIF2A	zgc:103670 [Source:ZFIN;Acc:ZDB-GENE-040912-111]	527	722	605	391	620	541	335	436	628	394	667	589	625.1258722188572	609.6375923550848	629.3919074831072	559.6526770887841	594.5380146578007	545.3280203608789	424.3261697951095	452.47473045906986	451.497491430941	444.9103909272779	494.0564387272965	480.26710851346695
ENSDARG00000051819	3.724217235211648e-9	5.70177100632983e-7	1.1307663459632482	7	67183718	67214972	-1	protein_coding	swap70a	switching B cell complex subunit SWAP70a [Source:ZFIN;Acc:ZDB-GENE-040426-1182]	105	168	85	71	111	72	34	48	45	49	68	74	124.55069560337762	141.85473063110007	88.42696220837043	101.62491067341092	106.44148326938044	72.57600270976576	43.06593962099618	49.813731793659066	32.35252725221711	55.33149531836705	50.36857246395227	60.33916134125052
ENSDARG00000091669	3.743007144711085e-9	5.70177100632983e-7	0.7697388007128451	21	25688388	25695124	1	protein_coding	bicdl2l	bicaudal-D-related protein 2-like [Source:ZFIN;Acc:ZDB-GENE-091204-161]	143	229	214	186	203	196	84	101	196	103	146	180	169.62618544079047	193.36150782453524	222.62788132460318	266.22863922893566	194.6632531863444	197.56800737658457	106.39820376951998	104.81639398249095	140.91322980965674	116.30906158758788	108.14428793730927	146.770932992231
ENSDARG00000102929	4.039500474656126e-9	6.115902243031196e-7	1.1034198844206096	7	45992048	45993499	-1	protein_coding	C18H19orf12	zgc:101715 [Source:ZFIN;Acc:ZDB-GENE-040912-59]	73	148	73	49	83	78	28	41	50	43	41	61	86.59238837187206	124.96726269882626	75.94315577895343	70.13550173235402	79.59137938160879	78.62400293557958	35.46606792317333	42.54922924041712	35.947252502463456	48.556210177342514	30.369286338559455	49.73903840292272
ENSDARG00000032049	4.509516546243421e-9	6.786139142013586e-7	0.29954543886890395	20	36419947	36617313	-1	protein_coding	enah	ENAH actin regulator [Source:ZFIN;Acc:ZDB-GENE-010323-11]	1057	1663	1232	903	1473	1221	861	1011	1501	914	1408	1362	1253.810335740668	1404.192958568568	1281.6707934201454	1292.4971033533811	1412.5072509531296	1230.7680459531111	1090.58158863758	1049.2017259039442	1079.136520123953	1032.101769816071	1042.9257357241881	1110.566726307881
ENSDARG00000043531	5.045517524509605e-9	7.547000008046596e-7	0.3245510822590801	20	15552657	15554606	1	protein_coding	jun	Jun proto-oncogene, AP-1 transcription factor subunit [Source:ZFIN;Acc:ZDB-GENE-030131-7859]	1162	1511	1246	1078	1448	1366	805	1043	1511	1009	1500	1399	1378.3610313440456	1275.848202283287	1296.2352342544652	1542.9810381117884	1388.5339439104764	1376.9280514102782	1019.6494527912332	1082.4108804330501	1086.3259706244455	1139.3771178822929	1111.0714514107117	1140.7363069785065
ENSDARG00000005749	5.214309741376003e-9	7.752773106488992e-7	0.5305246141476493	22	31045277	31060579	-1	protein_coding	cand2	cullin-associated and neddylation-dissociated 2 (putative) [Source:ZFIN;Acc:ZDB-GENE-060503-645]	502	810	700	477	646	622	358	495	518	354	669	602	595.4709446942435	683.9424512570897	728.2220417159917	682.7476393129157	619.47025398216	626.9760234093653	453.45901130343043	513.7041091221091	372.4135359255214	399.7418233204477	495.53786732917746	490.86723145179474
ENSDARG00000077130	6.087765448392649e-9	8.997572385927945e-7	0.6731410967647946	2	1945211	1954204	1	protein_coding	bcl10	BCL10 immune signaling adaptor [Source:ZFIN;Acc:ZDB-GENE-100219-2]	133	220	138	113	144	137	82	108	120	83	128	114	157.76421443094497	185.762147255012	143.5637739382955	161.74105501542866	138.08624856568272	138.09600515608207	103.86491320357904	112.0808965357329	86.27340600591229	93.72477778417276	94.81143052038074	92.95492422841296
ENSDARG00000092714	6.270565495702204e-9	9.212907766762469e-7	1.7731576449556503	4	13499264	13502549	-1	protein_coding	si:ch211-266a5.12	si:ch211-266a5.12 [Source:ZFIN;Acc:ZDB-GENE-081104-210]	32	53	26	32	34	20	8	14	7	8	12	17	37.958307231505565	44.75179002052562	27.048247263736837	45.80277664153732	32.60369757800842	20.160000752712712	10.133162263763808	14.529005106483895	5.032615350344884	9.03371352136605	8.888571611285695	13.861699227044038
ENSDARG00000078696	7.559827364481769e-9	1.1041794909416606e-6	0.6161295931519261	12	26408351	26430507	-1	protein_coding	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]	454	997	566	416	696	739	376	383	616	355	579	556	538.5334838469852	841.8402764238499	588.8195365875018	595.4360963399852	667.4168680674666	744.9120278127347	476.258626396899	397.47206827023797	442.87015083034976	400.8710375106184	428.87358024453476	453.35910413155796
ENSDARG00000058032	7.698240876742553e-9	1.1178205904650152e-6	0.5223099256531364	8	14158021	14170576	1	protein_coding	tpk2	thiamin pyrophosphokinase 2 [Source:ZFIN;Acc:ZDB-GENE-060503-173]	232	433	333	227	329	301	171	223	275	227	300	278	275.1977274284153	365.6136807337282	346.4256284163218	324.9134468009054	315.4887206813168	303.4080113283263	216.5963433879514	231.42629562470773	197.709888763549	256.3316211687616	222.21429028214234	226.67955206577898
ENSDARG00000016536	8.84838143860257e-9	1.2773564600029177e-6	-0.9935520836754735	5	22791686	22830724	1	protein_coding	npas2	neuronal PAS domain protein 2 [Source:ZFIN;Acc:ZDB-GENE-030408-3]	47	49	72	27	72	64	87	86	147	106	164	173	55.75126374627379	41.37429643407086	74.902838576502	38.646092791297114	69.04312428284136	64.51200240868067	110.19813961843141	89.2496027969725	105.68492235724256	119.69670415810015	121.47714535423782	141.06317448697757
ENSDARG00000058731	9.40094894838565e-9	1.3492807074474894e-6	1.5962748735457852	8	12854105	12867434	-1	protein_coding	slc2a6	solute carrier family 2 member 6 [Source:ZFIN;Acc:ZDB-GENE-081104-301]	60	64	34	38	35	58	20	23	15	17	13	19	71.17182605907293	54.03989738327622	35.37078488334817	54.39079726182557	33.562629859714555	58.464002182866864	25.33290565940952	23.86907981779497	10.784175750739037	19.196641232902856	9.62928591222617	15.49248737140216
ENSDARG00000058605	9.972941496660366e-9	1.42315021472458e-6	0.5857415401896059	5	12562188	12587053	-1	protein_coding	vsig10	V-set and immunoglobulin domain containing 10 [Source:NCBI gene;Acc:100005564]	230	305	201	196	284	200	123	154	227	151	232	209	272.8253332264462	257.53388596717576	209.10375769273477	280.54200692941606	272.33676800454094	201.60000752712713	155.79736980536856	159.81905617132284	163.20052636118407	170.51134271578417	171.84571781819008	170.41736108542375
