Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000103952	6.797847562527848e-8	1.1080591699918441e-5	1.4824372341942356	4	72668095	72685014	1	protein_coding	CABZ01054391.1	NACHT, LRR and PYD domains-containing protein 12-like [Source:NCBI gene;Acc:100150280]	36	49	23	49	26	30	17	11	13	9	16	23	37.45273201240781	55.40199867682693	31.20675414092753	36.696796040715796	25.774573610906305	39.465840672730074	21.269931772482273	11.260360998913166	9.232076356076004	10.029007240486495	11.68869919072284	18.509583316513122
ENSDARG00000100003	6.817480990681432e-8	1.1080591699918441e-5	0.29198509894423386	6	23809163	23813893	1	protein_coding	glulb	glutamate-ammonia ligase (glutamine synthase) b [Source:ZFIN;Acc:ZDB-GENE-030131-8417]	5142	4541	3741	7102	5205	3998	3261	4476	5977	3421	6486	5093	5349.498555772249	5134.295428397369	5075.846401791734	5318.788683289053	5159.871370952589	5259.481033652494	4080.0733829449823	4581.943257375939	4244.624644635867	3812.1370855226996	4738.3064344392715	4098.665557869623
ENSDARG00000030494	6.885851572470022e-8	1.112043099490302e-5	0.7232450783373467	16	42883799	42894628	-1	protein_coding	hjv	hemojuvelin BMP co-receptor [Source:ZFIN;Acc:ZDB-GENE-030131-651]	259	216	162	266	258	148	137	171	159	129	167	149	269.45159975593396	244.22105539172685	219.80409438392434	199.21117850674287	255.7630766005318	194.6981473188017	171.41062663706305	175.04743007401376	112.9153954320065	143.74910378030643	122.00079780316963	119.90990931132414
ENSDARG00000076308	7.418351257748684e-8	1.190457570507708e-5	-0.49179587220949916	16	26816753	26820634	-1	protein_coding	pdp1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060810-70]	169	159	134	240	225	138	231	236	412	223	345	317	175.81976972491444	179.77383244113227	181.81326325583865	179.73940917901612	223.0491947097661	181.54286709455835	289.02083761431794	241.58592688577335	292.5858045156395	248.49651273649872	252.03757629996122	255.11034397107215
ENSDARG00000035835	7.78881441426875e-8	1.2420464746778877e-5	0.34743096104277515	12	10381957	10409970	-1	protein_coding	eef2k	eukaryotic elongation factor 2 kinase [Source:ZFIN;Acc:ZDB-GENE-020916-2]	1601	1457	1312	2075	1676	1146	932	1278	1943	1081	1962	1502	1665.6062208851363	1647.3614708599353	1780.1418014303008	1553.9969751935769	1661.4686681491912	1507.5951136982887	1166.0927301149106	1308.249214237366	1379.8403353735134	1204.5952029962111	1433.3267382623883	1208.7562670175091
ENSDARG00000017624	8.067939415329773e-8	1.27851627422304e-5	-0.40897424188539316	6	39308498	39313027	-1	protein_coding	krt4	keratin 4 [Source:ZFIN;Acc:ZDB-GENE-000607-83]	120893	92579	84184	161712	128581	90175	105663	143794	258706	139342	225416	201425	125771.47586600049	104674.72725514205	114222.14741738448	121108.41390482106	127466.1711332286	118627.73942211448	132202.63534563498	147197.48631615634	183722.58044423067	155273.54743376325	164676.23854849872	162099.6878055937
ENSDARG00000008433	8.931484983151543e-8	1.40657019719135e-5	0.7149269664057856	8	11204059	11229523	-1	protein_coding	unc45b	unc-45 myosin chaperone B [Source:NCBI gene;Acc:266640]	466	535	524	915	549	380	325	372	416	400	367	449	484.80480882727886	604.8993733082124	710.971268254175	685.2564974949989	544.2400350918293	499.9006485212476	406.6310485915729	380.8049355996088	295.4264433944321	445.7336551327331	268.10953768720515	361.33925691801704
ENSDARG00000102599	9.565687997229224e-8	1.4971482664799197e-5	0.29387904510336615	8	52515188	52529642	1	protein_coding	si:ch1073-392o20.2	si:ch1073-392o20.2 [Source:ZFIN;Acc:ZDB-GENE-091204-431]	1049	934	706	1375	1069	747	654	789	1123	802	1241	1020	1091.3309966948832	1056.0299339623746	957.9116705867319	1029.75703175478	1059.7315073099555	982.6994327509789	818.2667870119651	807.6749843765897	797.5093652210271	893.6959785411299	906.6047309804402	820.8597818627559
ENSDARG00000101482	1.0336999034956785e-7	1.6079423958977255e-5	0.6319128685690648	5	13870340	14004206	1	protein_coding	hk2	hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]	333	295	259	539	289	261	131	252	284	236	275	306	346.43777111477226	333.54264509518254	351.4151879347926	403.66475644787374	286.4942989827663	343.35281385275164	163.903591893834	257.96463379328344	201.68536039427576	262.98285652831254	200.8995173405488	246.25793455882675
ENSDARG00000098379	1.0611500056157257e-7	1.640576731243093e-5	1.0244057069985908	7	18721547	18730474	-1	protein_coding	C7H4orf54	si:dkey-38l22.2 [Source:ZFIN;Acc:ZDB-GENE-141216-433]	88	131	70	157	90	89	63	42	97	36	71	52	91.55112269699687	148.11554748294546	94.97707782021422	117.57953017127305	89.21967788390644	117.08199399576588	78.8238648039049	42.9941056322139	68.88549281072095	40.11602896194598	51.8686026588326	41.8477535851601
ENSDARG00000054609	1.1154260500806937e-7	1.7140380302906657e-5	0.34636603953117345	21	40139036	40174677	-1	protein_coding	slco2b1	solute carrier organic anion transporter family, member 2B1 [Source:ZFIN;Acc:ZDB-GENE-051023-6]	625	578	432	917	604	442	382	479	663	421	730	642	650.22104188208	653.5174537797135	586.1442516904649	686.7543259048241	598.7631715764388	581.4633859115564	477.94787865224873	490.33753804358236	470.8358941598762	469.1346720272016	533.2969005767295	516.6588038783228
ENSDARG00000090156	1.1728731865005518e-7	1.7914578098627404e-5	0.4165158922341375	6	11078693	11091449	-1	protein_coding	pttg1ipa	PTTG1 interacting protein a [Source:ZFIN;Acc:ZDB-GENE-030131-505]	337	269	245	454	307	239	193	268	318	205	318	322	350.5991857828176	304.14566620543764	332.41977237074974	340.0070490303055	304.3382345595475	314.41119735941624	241.47628424053406	274.3433407007935	225.830790864013	228.4384982555257	232.31289641561645	259.1341664311837
ENSDARG00000061391	1.2783514166852045e-7	1.940874261679842e-5	0.4202878435590375	17	32391056	32426413	-1	protein_coding	grhl1	grainyhead-like transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3665]	421	383	285	558	402	341	264	291	476	308	359	395	437.9888938117691	433.0401121066268	386.692388268015	417.8941263412125	398.51456121478213	448.5950556466985	330.30952870207767	297.8877318803392	338.0360265763214	343.2149144522045	262.2651880918437	317.8819743488123
ENSDARG00000002663	1.4527035494595487e-7	2.1868502567897967e-5	0.4162058219227171	4	8016457	8027318	1	protein_coding	optn	optineurin [Source:NCBI gene;Acc:336159]	426	421	358	629	391	309	230	341	456	308	488	418	443.1906621468258	476.00492740702316	485.73991228052415	471.0670348900048	387.60993391786025	406.49815892911977	287.76966515711314	349.0711909663081	323.8328321823583	343.2149144522045	356.5053253170466	336.3915576653254
ENSDARG00000075229	1.4576126736244356e-7	2.1868502567897967e-5	1.7005434711379324	10	4924388	4934610	1	protein_coding	slc46a2	solute carrier family 46 member 2 [Source:ZFIN;Acc:ZDB-GENE-170126-3]	28	24	21	23	16	20	3	11	11	6	9	9	29.129902676317187	27.135672821302986	28.493123346064266	17.225026712989045	15.861276068250035	26.310560448486715	3.753517371614519	11.260360998913166	7.811756916679696	6.686004826990996	6.574893294781598	7.242880428200787
ENSDARG00000019342	1.5667045615047434e-7	2.3366937739383983e-5	0.4418318234073644	24	25683071	25691020	-1	protein_coding	chrnd	cholinergic receptor, nicotinic, delta (muscle) [Source:ZFIN;Acc:ZDB-GENE-030131-6665]	340	297	282	542	337	243	228	227	375	220	357	351	353.72024678385156	335.80395116362445	382.62194207572014	405.9114990626114	334.0781271875164	319.6733094491136	285.2673202427034	232.37290425029894	266.3098948868078	245.15351032300322	260.80410069300336	282.4723366998307
ENSDARG00000098162	1.586818804434295e-7	2.3528532623644183e-5	-0.8421460931655333	3	13469704	13473197	1	protein_coding	zgc:77748	zgc:77748 [Source:ZFIN;Acc:ZDB-GENE-040426-1864]	324	227	343	414	371	243	559	619	1123	367	666	814	337.0745881116703	256.6582387681574	465.38768131904965	310.0504808338028	367.78333883254766	319.6733094491136	699.4054035775054	633.6512234842954	797.5093652210271	408.96062858428263	486.5421038138382	655.0782965061601
ENSDARG00000033320	1.690526917899564e-7	2.4920529071711302e-5	0.36411665440419194	13	30144937	30150592	-1	protein_coding	sar1ab	secretion associated, Ras related GTPase 1Ab [Source:ZFIN;Acc:ZDB-GENE-050417-437]	486	451	321	676	459	326	318	335	513	327	510	465	505.6118821675054	509.92451843365194	435.53774257555375	506.2660025208954	455.02035720792287	428.8621353103335	397.872841391139	342.92917587599186	364.3119362051531	364.38726307100933	372.5772867042905	374.21548879037397
ENSDARG00000058605	1.7562171078470074e-7	2.5739239751133448e-5	0.4584332173139017	5	12562188	12587053	-1	protein_coding	vsig10	V-set and immunoglobulin domain containing 10 [Source:NCBI gene;Acc:100005564]	195	215	182	313	203	168	123	154	227	151	232	209	202.86896506720896	243.0904023575059	246.94040233255697	234.41014613763355	201.2399401159223	221.00870776728843	153.89421223619527	157.6450539847843	161.20625637148098	168.26445481260674	169.48613826548117	168.1957788326627
ENSDARG00000088366	1.793349523259492e-7	2.6132400667956563e-5	-0.38840758491535987	14	35901249	35911982	1	protein_coding	zgc:77938	zgc:77938 [Source:ZFIN;Acc:ZDB-GENE-040426-1910]	567	541	498	855	571	433	614	707	1196	831	1053	927	589.880529195423	611.683291513538	675.6940679209525	640.3216452002449	566.0492896856731	569.6236337097374	768.2198887237715	723.7341114756007	849.3510247589924	926.011668538253	769.2625154894469	746.0166841046811
ENSDARG00000002405	1.8563095824065298e-7	2.6895273978238604e-5	-0.46236642360439	5	20786772	20814588	-1	protein_coding	si:ch211-225b11.1	si:ch211-225b11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-39]	221	230	179	347	238	189	267	265	538	303	495	427	229.9181604095035	260.0501978708203	242.86995614026208	259.8732291046608	235.93648151521927	248.63479623819947	334.0630460736922	271.27233315563535	382.0659291976069	337.64324376304535	361.61913121298784	343.6344380935262
ENSDARG00000036457	2.1909594856004523e-7	3.156351008943152e-5	0.4726133801890819	19	9786722	9798248	1	protein_coding	cacng6a	calcium channel, voltage-dependent, gamma subunit 6a [Source:ZFIN;Acc:ZDB-GENE-060503-440]	304	246	233	348	305	218	170	209	343	177	296	223	316.26751477144376	278.1406464183556	316.13798760157016	260.6221433095734	302.3555750510163	286.7851088885052	212.69931772482275	213.94685897935014	243.58478385646686	197.2371423962344	216.24093502837252	179.46248172097506
ENSDARG00000093521	2.332196896284291e-7	3.340839113293119e-5	-1.6334141031163922	8	13597405	13600274	-1	protein_coding	b3gnt3.3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081105-12]	17	5	12	24	8	4	22	43	72	31	37	48	17.686012339192576	5.653265171104788	16.28178476917958	17.97394091790161	7.9306380341250176	5.262112089697343	27.525794058506474	44.01777481393328	51.131499818267095	34.544358272786816	27.030116878546565	38.62869561707086
ENSDARG00000036245	2.4276735702166037e-7	3.458070976002359e-5	0.6402082320000911	19	19437648	19446529	-1	protein_coding	wipf3	WAS/WASL interacting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-030804-15]	113	127	83	166	111	84	70	86	104	57	110	87	117.55996437228008	143.59293534606164	112.61567798682543	124.31975801548616	110.03760272348461	110.50435388364421	87.58207200433877	88.03554962786656	73.85661084860803	63.51704585641447	80.35980693621953	70.01451080594094
ENSDARG00000003017	2.567773230172614e-7	3.637200572683052e-5	0.3482665246669849	9	8968702	8972763	1	protein_coding	ube2al	ubiquitin conjugating enzyme E2 A, like [Source:ZFIN;Acc:ZDB-GENE-030131-4195]	624	573	498	969	611	463	374	493	712	439	744	695	649.1806882150687	647.8641886086087	675.6940679209525	725.6978645602776	605.7024798562982	609.0894743824675	467.93849899461003	504.6689065876537	505.63372042508576	489.1926865081746	543.524512368612	559.3113219555053
ENSDARG00000105641	2.661717415801528e-7	3.7493247265359855e-5	0.4846956577867909	7	34256520	34265481	-1	protein_coding	si:ch211-98n17.5	si:ch211-98n17.5 [Source:ZFIN;Acc:ZDB-GENE-160728-87]	437	378	351	527	390	295	224	312	407	243	373	459	454.63455248395036	427.386846935522	476.2422044985027	394.6777859889229	386.6186041635946	388.0807666151791	280.2626304138841	319.38478469644616	289.03500591714874	270.78319549313534	272.4927998837262	369.38690183824014
ENSDARG00000036840	2.7988923532522336e-7	3.920768818602783e-5	-0.47801970292561147	11	11515778	11518469	-1	protein_coding	krt15	keratin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-2931]	3918	2614	2830	4974	4070	3153	4059	4342	7226	4574	7943	7662	4076.1056673503836	2955.5270314535833	3839.7875747315175	3725.0992552351095	4034.7120998611026	4147.859854703931	5078.509003794444	4444.771587025542	5131.614134538861	5096.964346442803	5802.70860449447	6166.105537874937
ENSDARG00000053625	2.9844944727938326e-7	4.1577943603125065e-5	-0.4181844075135005	7	29518396	29534001	-1	protein_coding	anxa2b	annexin A2b [Source:ZFIN;Acc:ZDB-GENE-030131-1089]	805	724	631	1004	755	623	854	925	1716	1104	1263	1323	837.4847019441191	818.5927967759734	856.1505157793596	751.9098617322175	748.4539644705485	819.5739579703612	1068.501278452933	946.8939930904253	1218.6340790020324	1230.2248881663434	922.6766923676842	1064.7034229455157
ENSDARG00000102097	3.4221592155572464e-7	4.741467044287103e-5	0.563749232718387	1	18716	23389	1	protein_coding	nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta [Source:ZFIN;Acc:ZDB-GENE-071024-1]	390	427	239	521	389	265	164	269	337	260	409	338	405.7379301344179	482.78884561234895	324.27887998615995	390.1843007594475	385.62727440932895	348.61492594244896	205.1922829815937	275.36700988251283	239.32382553827793	289.7268758362765	298.79237306285256	272.0103983035407
ENSDARG00000088539	3.5016866736970103e-7	4.825286174542809e-5	0.9984284909328511	10	22123831	22127942	-1	protein_coding	ponzr2	plac8 onzin related protein 2 [Source:ZFIN;Acc:ZDB-GENE-050411-41]	53	68	41	77	55	54	19	27	31	41	43	44	55.13874435160039	76.88440632702512	55.6294312946969	57.666393778267675	54.523136484609495	71.03851321091413	23.772276686891953	27.63906790642322	22.01495131064278	45.68769965110514	31.41337907506763	35.40963764898162
ENSDARG00000039684	3.5506657616838463e-7	4.866331372296969e-5	0.5024398494044414	20	7052870	7069612	-1	protein_coding	sirt5	sirtuin 5 [Source:NCBI gene;Acc:436878]	373	278	237	386	281	232	184	217	304	234	300	241	388.0519177952254	314.32154351342626	321.5652491912967	289.08088309625094	278.56366094864126	305.2025012024459	230.2157321256905	222.13621243310516	215.88855478823885	260.7541882526489	219.16310982605324	193.94824257737662
ENSDARG00000038288	3.581108033268519e-7	4.881666353952865e-5	0.5571787638040698	25	3809733	3830272	-1	protein_coding	cd151	CD151 molecule [Source:ZFIN;Acc:ZDB-GENE-041010-137]	203	293	185	349	260	194	162	166	274	142	241	204	211.1917944032996	331.2813390267406	251.01084852485187	261.3710575144859	257.74573610906305	255.21243635032116	202.68993806718402	169.92908416541687	194.58376319729422	158.23544757212025	176.06103156026276	164.17195637255116
ENSDARG00000038489	3.968848914986923e-7	5.381292205320505e-5	0.6677460140478865	22	36656680	36661461	1	protein_coding	b3gnt7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:ZFIN;Acc:ZDB-GENE-021210-4]	236	197	202	399	220	184	105	131	296	161	201	175	245.52346541467344	222.73864774152867	274.0767102811896	298.8167677601143	218.09254593843798	242.05715612607779	131.37310800650818	134.1006628052386	210.20727703065361	179.40779619092507	146.83928358345568	140.8337861039042
ENSDARG00000040258	4.020852858477803e-7	5.422804480143867e-5	0.9313383179655198	17	5829851	5860222	-1	protein_coding	si:ch73-340m8.2	si:ch73-340m8.2 [Source:ZFIN;Acc:ZDB-GENE-110411-209]	72	69	47	86	46	50	32	32	57	34	42	31	74.90546402481561	78.01505936124607	63.77032367928669	64.40662162248078	45.60116869621885	65.7764011212168	40.03751863055487	32.757413815020115	40.479104022794786	37.887360686282314	30.682835375647453	24.9476992526916
ENSDARG00000007172	4.4250739446304547e-7	5.905371711622551e-5	0.2784524953692449	8	9222684	9570511	-1	protein_coding	plxna3	plexin A3 [Source:NCBI gene;Acc:567422]	965	929	774	1312	1136	797	659	842	1318	722	1212	1039	1003.9412886659316	1050.3766687912696	1050.1751176120829	982.5754368452882	1126.1506008457525	1048.4758338721956	824.5226492979893	861.9294510077168	935.9905105621672	804.5492475145833	885.4189636972551	836.1503072111798
ENSDARG00000041140	4.4252440355286323e-7	5.905371711622551e-5	-0.4719618571547657	18	20468157	20482855	1	protein_coding	ddb2	damage-specific DNA binding protein 2 [Source:NCBI gene;Acc:100004133]	279	260	201	365	274	213	313	398	423	407	523	503	290.2586730961605	293.969788897449	272.71989488375795	273.35368479308704	271.62435266878185	280.2074687763835	391.6169791051148	407.4203343243127	300.3975614323192	453.53399409755593	382.0743547967528	404.79653948722176
ENSDARG00000054191	5.16380380870803e-7	6.854881967004823e-5	0.17903216284792575	21	37445871	37463555	1	protein_coding	pgk1	phosphoglycerate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2711]	7198	6685	5373	9402	7556	5625	5097	6273	8866	5712	9207	8574	7488.46569514754	7558.415533767102	7290.169130400157	7041.291354587956	7490.487623231079	7399.845126136889	6377.226014373067	6421.476776925662	6296.276074843834	6365.076595295429	6726.115840561574	6900.050754599283
ENSDARG00000092947	5.324061370724656e-7	7.030811252850189e-5	-0.6757863066557311	19	5362420	5364649	-1	protein_coding	cyt1	type I cytokeratin, enveloping layer [Source:ZFIN;Acc:ZDB-GENE-991008-6]	3675	2424	2396	4869	4597	2881	3609	5194	10108	4209	9816	7408	3823.299726266631	2740.7029549516014	3250.9296922461895	3646.46326371929	4557.142880359088	3790.0362326045115	4515.481398052267	5316.937729850452	7178.294446708942	4690.232386134184	7171.016953508462	5961.69535690127
ENSDARG00000102895	5.3561345900152e-7	7.036517747659865e-5	2.3510369455454883	12	44018826	44019561	-1	protein_coding	si:dkey-31i7.1	si:dkey-31i7.1 [Source:ZFIN;Acc:ZDB-GENE-131127-342]	19	10	10	27	16	7	2	1	4	5	7	1	19.766719673215235	11.306530342209577	13.568153974316317	20.220683532639313	15.861276068250035	9.208696156970351	2.5023449144096794	1.0236691817193786	2.8406388787926167	5.571670689159164	5.113805895941242	0.8047644920223097
ENSDARG00000036832	5.476499621149176e-7	7.157559169806051e-5	-0.7251388943811911	19	5356421	5358455	-1	protein_coding	cyt1l	type I cytokeratin, enveloping layer, like [Source:ZFIN;Acc:ZDB-GENE-061026-4]	2636	1636	1581	3316	3238	1935	2470	3802	7321	2920	6864	5347	2742.372266241861	1849.7483639854868	2145.1251433394095	2483.3995034900727	3209.925744312101	2545.54672339109	3090.395969295954	3891.9902288970775	5199.079307910187	3253.8556824689517	5014.451952820098	4303.075738843289
ENSDARG00000099717	5.509820408228839e-7	7.164179305161139e-5	1.716128214921448	21	2091895	2101392	1	protein_coding	si:rp71-1h20.9	si:rp71-1h20.9 [Source:ZFIN;Acc:ZDB-GENE-131127-386]	23	24	15	19	20	27	3	8	8	9	7	12	23.928134341260545	27.135672821302986	20.352230961474476	14.229369893338777	19.826595085312544	35.519256605457066	3.753517371614519	8.189353453755029	5.681277757585233	10.029007240486495	5.113805895941242	9.657173904267715
ENSDARG00000030463	6.134280480535003e-7	7.935442937957398e-5	-0.5221878556162239	7	35229645	35243976	1	protein_coding	tppp3	tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909]	252	196	201	455	239	204	322	372	535	310	491	548	262.16912408685465	221.6079947073077	272.71989488375795	340.7559632352181	236.9278112694849	268.3677165745645	402.87753121995837	380.8049355996088	379.93545003851244	345.44358272786815	358.6969564153071	441.0109416282257
ENSDARG00000035810	6.623101575566972e-7	8.524301545609167e-5	0.48424982275253	9	17438765	17449872	1	protein_coding	rgcc	regulator of cell cycle [Source:ZFIN;Acc:ZDB-GENE-040704-31]	1469	1593	945	1664	1292	1047	767	935	1381	842	1645	1297	1528.279536839641	1801.1302835139857	1282.1905505728919	1246.1932369745118	1280.7980425111903	1377.3578394782796	959.649274676112	957.1306849076191	980.7305729031508	938.2693440544032	1201.744385546192	1043.7795461529356
ENSDARG00000093042	6.931951517331002e-7	8.863451395896864e-5	-0.7796784311826573	8	12843300	12847483	-1	protein_coding	si:dkey-104n9.1	si:dkey-104n9.1 [Source:ZFIN;Acc:ZDB-GENE-081104-300]	60	51	42	47	61	39	65	96	109	91	133	119	62.421220020679684	57.66330474526884	56.98624669212853	35.19896763089066	60.471115010203256	51.3055928745491	81.32620971831457	98.27224144506035	77.4074094470988	101.40440654269678	97.1623120228836	95.76697455065485
ENSDARG00000002396	6.956524660948436e-7	8.863451395896864e-5	-0.4091493841927838	24	20194022	20208474	-1	protein_coding	cry-dash	cryptochrome DASH [Source:NCBI gene;Acc:402986]	546	610	445	821	560	425	655	814	909	783	1072	1022	568.0331021881851	689.6983508747842	603.782851857076	614.8585622332176	555.1446623887513	559.0994095303428	819.51795946917	833.2667139195742	645.5351852056222	872.5236299223251	783.1428457784302	822.4693108468005
ENSDARG00000106522	7.588128702148589e-7	9.619850162148875e-5	1.3631926232782563	8	5844174	5850472	-1	protein_coding	LRRTM4	leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411]	29	30	12	40	31	29	10	15	20	8	16	9	30.170256343328514	33.91959102662873	16.28178476917958	29.956568196502687	30.731222382234442	38.150312650305736	12.511724572048397	15.35503772579068	14.203194393963082	8.914673102654662	11.68869919072284	7.242880428200787
ENSDARG00000092123	8.151074907211839e-7	1.0244231368880352e-4	0.7967930635923236	8	26382604	26388090	-1	protein_coding	si:dkey-20d21.12	si:dkey-20d21.12 [Source:ZFIN;Acc:ZDB-GENE-081104-365]	113	98	98	132	113	59	64	73	74	56	64	77	117.55996437228008	110.80399735365386	132.9679089482999	98.85667504845887	112.02026223201587	77.61615332303582	80.07503726110974	74.72785026551465	52.551819257663404	62.40271171858264	46.75479676289136	61.966865885717844
ENSDARG00000044094	8.161446407074861e-7	1.0244231368880352e-4	0.5558661622064178	21	32390707	32436679	-1	protein_coding	gfpt2	glutamine-fructose-6-phosphate transaminase 2 [Source:ZFIN;Acc:ZDB-GENE-071113-1]	430	535	307	505	497	306	252	279	457	314	375	394	447.35207681487105	604.8993733082124	416.5423270115109	378.20167348084647	492.6908878700167	402.55157486184675	315.2954592156196	285.6037016997066	324.54299190205643	349.9009192791955	273.95388728256654	317.07720985679003
ENSDARG00000035883	9.623390306357654e-7	1.1984502206603357e-4	0.5353506447894953	19	32766423	32804535	-1	protein_coding	nt5c1aa	5'-nucleotidase, cytosolic IAa [Source:ZFIN;Acc:ZDB-GENE-070705-423]	277	291	224	542	297	236	217	231	279	189	271	284	288.1779657621379	329.0200329582987	303.9266490246855	405.9114990626114	294.42493701689125	310.46461329214327	271.5044232134502	236.46758097717645	198.134561795785	210.60915205021638	197.9773425428681	228.55311573433593
ENSDARG00000105590	9.64243127646257e-7	1.1984502206603357e-4	-0.7079720636332864	7	2021025	2047639	-1	protein_coding	si:cabz01007794.1	si:cabz01007794.1 [Source:ZFIN;Acc:ZDB-GENE-160728-147]	747	533	732	1334	892	729	1222	1234	2485	878	1816	2055	777.144189257462	602.6380672397704	993.1888709199544	999.0515493533646	884.2661408049395	959.0199283473409	1528.932742704314	1263.2077702417132	1764.746903449913	978.3853730163491	1326.6673581470423	1653.7910311058463
ENSDARG00000054300	1.1206173673166625e-6	1.3860123584543405e-4	-0.35249225501103976	2	38261748	38269675	1	protein_coding	dhrs1	dehydrogenase/reductase (SDR family) member 1 [Source:ZFIN;Acc:ZDB-GENE-030616-591]	962	1076	827	1530	1029	786	1134	1223	1823	1439	1851	1783	1000.8202276648976	1216.5826648217505	1122.0863336759594	1145.8387335162279	1020.0783171393304	1034.0050256255279	1418.8295664702882	1251.9474092428002	1294.621169009735	1603.5268243400074	1352.2363876267484	1434.8950892757782
ENSDARG00000018328	1.2187914044028364e-6	1.5001192261472775e-4	0.3091020624809887	8	27555314	27624329	1	protein_coding	rhocb	ras homolog family member Cb [Source:NCBI gene;Acc:436718]	733	672	605	994	658	517	485	615	828	534	782	719	762.5792379193035	759.7988389964836	820.8733154461371	744.4207196830918	652.2949783067827	680.1279875933816	606.8186417443472	629.5565467574179	588.0122479100717	595.0544296021986	571.2851729465788	578.6256697640406
ENSDARG00000074378	1.241955251766687e-6	1.5212451888185673e-4	0.4886218723443205	1	51732979	51734535	-1	protein_coding	junba	JunB proto-oncogene, AP-1 transcription factor subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]	363	399	229	534	367	259	183	245	401	250	419	309	377.6483811251121	451.13056065416214	310.71072601184363	399.9201854233109	363.8180198154852	340.721757807903	228.96455966848566	250.79894952124778	284.7740475989598	278.5835344579582	306.09781005705435	248.6722280348937
ENSDARG00000040628	1.2746658615985836e-6	1.553805428886158e-4	0.40592137914504955	15	42560354	42575208	1	protein_coding	zgc:110333	zgc:110333 [Source:ZFIN;Acc:ZDB-GENE-050417-331]	346	379	279	463	353	272	247	252	356	237	426	348	359.9623687859195	428.51749996974297	378.5514958834252	346.7472768745186	349.93940325576636	357.8236220994193	309.0395969295954	257.96463379328344	252.81686021254288	264.09719066614434	311.2116159529956	280.0580432237638
ENSDARG00000004082	1.3500027895032767e-6	1.6377665420026593e-4	0.6794053463841596	5	23630384	23635908	1	protein_coding	cx39.9	connexin 39.9 [Source:ZFIN;Acc:ZDB-GENE-040406-2]	209	136	117	200	203	109	96	110	171	85	112	138	217.43391640536757	153.76881265405024	158.7474014995009	149.78284098251345	201.2399401159223	143.3925544442526	120.11255589166461	112.60360998913166	121.43731206838436	94.71840171570578	81.82089433505988	111.05749989907873
ENSDARG00000076269	1.3831224886871963e-6	1.6699557476506602e-4	2.071449818893717	10	40623414	40628487	1	protein_coding	zgc:172131	zgc:172131 [Source:ZFIN;Acc:ZDB-GENE-080204-47]	29	69	12	56	35	19	10	6	4	17	13	7	30.170256343328514	78.01505936124607	16.28178476917958	41.939195475103766	34.696541399296954	24.99503242606238	12.511724572048397	6.142015090316272	2.8406388787926167	18.943680343141157	9.497068092462307	5.633351444156168
ENSDARG00000023656	1.4079487727910682e-6	1.6918739873989354e-4	-4.465478797741308	22	14093306	14094746	1	protein_coding	he1.1	hatching enzyme 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021211-3]	3	0	0	14	4	6	49	52	490	27	81	25	3.121061001033984	0	0	10.484798868775941	3.9653190170625088	7.8931681345460145	61.307450403037144	53.23079744940769	347.9782626520955	30.087021721459486	59.17403965303438	20.11911230055774
